
Instance      Makespan  Lowerbound  Optimal  GapOpt[%]  NodeCount  CPU-Time[sec.]
Instance  Makespan  Lowerbound  Optimal  GapOpt[%]  NodeCount  CPU-Time[sec.]
-----------------------------------------------------------------------------
Average     60.881      52.756   58.992     2.621%       6866          29.614

Comparison Summary
Instances total: 480
Solved: 320/480 (66.7%)
Mean gap to optimal: 2.62%

Configuration
  branching order    : policy
  branching scheme   : serial
  search strategy    : ubs
  lower bound        : lb_cp
  dominance          : set_based
  optimal baseline   : data/baseline/j30_opt.json
